pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,39,39,8,x,1,0.6434692998882383,None,,,,,8,39,39,0,439.9406915998552,,439.92553039989434,439.9406915998552,440.92359279980883,440.92359279980883,440.92359279980883,440.92359279980883,440.9406865998171,441.42347499984317,441.42347499984317,442.0748515999876,,,,,x,1,0.6434692998882383,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,40,40,12,v,1,0.3446464000735432,None,,,,,12,40,40,1,442.09016649983823,,442.07530919997953,442.09016649983823,443.0898483998608,443.0898483998608,443.0898483998608,443.0898483998608,443.0898483998608,443.5903292999137,443.5903292999137,443.9414470999036,,,,,v,1,0.3446464000735432,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
50,c,41,41,7,c,1,0.566011399962008,None,,,,,7,41,41,2,443.9565150998533,,443.9419940998778,443.9565150998533,444.93949249992147,444.93949249992147,444.93949249992147,444.93949249992147,444.9559181998484,445.4409145999234,445.4409145999234,446.00939959986135,,,,,c,1,0.566011399962008,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,42,42,13,v,1,0.4590549001004547,None,,,,,13,42,42,1,446.0244793999009,,446.00993849989027,446.0244793999009,447.0234480998479,447.0234480998479,447.0234480998479,447.0234480998479,447.0234480998479,447.52371909981593,447.52371909981593,447.9914308998268,,,,,v,1,0.4590549001004547,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,43,43,14,v,1,0.4560535999480635,None,,,,,14,43,43,1,448.00699629983865,,447.99226309987716,448.00699629983865,448.99088679999113,448.99088679999113,448.99088679999113,448.99088679999113,449.00736299995333,449.49077079980634,449.49077079980634,449.95764169981703,,,,,v,1,0.4560535999480635,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
50,c,44,44,8,c,1,0.5467999000102282,None,,,,,8,44,44,2,449.97391809988767,,449.9580286999699,449.97391809988767,450.95672239991836,450.95672239991836,450.95672239991836,450.95672239991836,450.97372459992766,451.456988299964,451.456988299964,452.0075646999758,,,,,c,1,0.5467999000102282,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,45,45,9,x,1,0.5168999000452459,None,,,,,9,45,45,0,452.0232956998516,,452.007943399949,452.0232956998516,453.00755849992856,453.00755849992856,453.00755849992856,453.00755849992856,453.02402310003527,453.5068180998787,453.5068180998787,454.0252185999416,,,,,x,1,0.5168999000452459,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,46,46,10,x,1,0.429196200100705,None,,,,,10,46,46,0,454.0408504998777,,454.02583309984766,454.0408504998777,455.03984580002725,455.03984580002725,455.03984580002725,455.03984580002725,455.0565802999772,455.5405929000117,455.5405929000117,455.9749968999531,,,,,x,1,0.429196200100705,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,47,47,11,x,1,0.3992510000243783,None,,,,,11,47,47,0,455.9904083998408,,455.9755239998922,455.9904083998408,456.99102639988996,456.99102639988996,456.99102639988996,456.99102639988996,456.99102639988996,457.473958699964,457.473958699964,457.8756760000251,,,,,x,1,0.3992510000243783,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,48,48,15,v,1,0.4151057999115437,None,,,,,15,48,48,1,457.89014279982075,,457.87616999982856,457.89014279982075,458.8911979999393,458.8911979999393,458.8911979999393,458.8911979999393,458.8911979999393,459.39166760002263,459.39166760002263,459.8077173999045,,,,,v,1,0.4151057999115437,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,49,49,16,v,1,0.4437279999256134,None,,,,,16,49,49,1,459.8239360000007,,459.80817259987816,459.8239360000007,460.8072686998639,460.8072686998639,460.8072686998639,460.8072686998639,460.82353789987974,461.3229397998657,461.3229397998657,461.77517309994437,,,,,v,1,0.4437279999256134,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
50,c,50,50,9,c,1,0.6393766000401229,None,,,,,9,50,50,2,461.7906326998491,,461.7756699998863,461.7906326998491,462.790028099902,462.790028099902,462.790028099902,462.790028099902,462.790028099902,463.27342129987665,463.27342129987665,463.9248034998309,,,,,c,1,0.6393766000401229,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,51,51,12,x,1,0.44632410001941025,None,,,,,12,51,51,0,463.9402830998879,,463.9253064999357,463.9402830998879,464.94056679983623,464.94056679983623,464.94056679983623,464.94056679983623,464.94056679983623,465.42439039982855,465.42439039982855,465.87363349995576,,,,,x,1,0.44632410001941025,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,52,52,12,z,1,0.40393540007062256,None,,,,,12,52,52,3,465.8899594999384,,465.87408320000395,465.8899594999384,466.8737442998681,466.8737442998681,466.8737442998681,466.8737442998681,466.88986809994094,467.37369949999265,467.37369949999265,467.79314740002155,,,,,z,1,0.40393540007062256,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,53,53,13,x,1,0.6111833001486957,None,,,,,13,53,53,0,467.80720709986053,,467.79363989993,467.80720709986053,468.8072750000283,468.8072750000283,468.8072750000283,468.8072750000283,468.8072750000283,469.30739259999245,469.30739259999245,469.924996699905,,,,,x,1,0.6111833001486957,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,54,54,13,x,0,0.4255311000160873,None,,,,,13,54,54,3,469.94105469994247,,469.92549369996414,469.94105469994247,470.9408286998514,470.9408286998514,470.9408286998514,470.9408286998514,470.9408286998514,471.4242246998474,471.4242246998474,471.85783210000955,,,,,x,0,0.4255311000160873,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,55,55,14,z,1,0.41197680006735027,None,,,,,14,55,55,3,471.87276759999804,,471.85837409994565,471.87276759999804,472.8569250998553,472.8569250998553,472.8569250998553,472.8569250998553,472.8743417998776,473.35807319986634,473.35807319986634,473.7741173999384,,,,,z,1,0.41197680006735027,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,56,56,15,z,1,0.3846549999434501,None,,,,,15,56,56,3,473.79061889997683,,473.7745162998326,473.79061889997683,474.7729209999088,474.7729209999088,474.7729209999088,474.7729209999088,474.80790199991316,475.27339489990845,475.27339489990845,475.65872089983895,,,,,z,1,0.3846549999434501,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,57,57,17,v,1,0.40492370002903044,None,,,,,17,57,57,1,475.6736641000025,,475.6592663000338,475.6736641000025,476.6733706998639,476.6733706998639,476.6733706998639,476.6733706998639,476.6733706998639,477.17361820000224,477.17361820000224,477.5909160999581,,,,,v,1,0.40492370002903044,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,58,58,14,x,1,0.3329682000912726,None,,,,,14,58,58,0,477.60710969986394,,477.5913611999713,477.60710969986394,478.59069429989904,478.59069429989904,478.59069429989904,478.59069429989904,478.6082784999162,479.09025030001067,479.09025030001067,479.42554069985636,,,,,x,1,0.3329682000912726,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,59,59,15,x,1,0.33745759981684387,None,,,,,15,59,59,0,479.4403976998292,,479.4262595998589,479.4403976998292,480.439216400031,480.439216400031,480.439216400031,480.439216400031,480.439216400031,480.93942219996825,480.93942219996825,481.29038989986293,,,,,x,1,0.33745759981684387,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-50,x,60,60,16,x,1,0.3303789999336004,None,,,,,16,60,60,0,481.3068319000304,,481.29079689993523,481.3068319000304,482.2899994000327,482.2899994000327,482.2899994000327,482.2899994000327,482.3071126998402,482.7900264998898,482.7900264998898,483.12473019980825,,,,,x,1,0.3303789999336004,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,61,61,16,z,1,0.32235750020481646,None,,,,,16,61,61,3,483.14014080003835,,483.1252394998446,483.14014080003835,484.13983699982055,484.13983699982055,484.13983699982055,484.13983699982055,484.13983699982055,484.6389881998766,484.6389881998766,484.9736134998966,,,,,z,1,0.32235750020481646,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,62,62,17,z,1,0.33818359998986125,None,,,,,17,62,62,3,484.99038059986196,,484.97403039992787,484.99038059986196,485.9740346998442,485.9740346998442,485.9740346998442,485.9740346998442,485.9907170999795,486.47393710003234,486.47393710003234,486.82429099990986,,,,,z,1,0.33818359998986125,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,63,63,18,v,1,0.4020787999033928,None,,,,,18,63,63,1,486.840466799913,,486.8247801999096,486.840466799913,487.82319070002995,487.82319070002995,487.82319070002995,487.82319070002995,487.84041019994766,488.32303750002757,488.32303750002757,488.7407312998548,,,,,v,1,0.4020787999033928,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,64,64,19,v,1,0.39201630000025034,None,,,,,19,64,64,1,488.7570137998555,,488.74137149984017,488.7570137998555,489.74046519980766,489.74046519980766,489.74046519980766,489.74046519980766,489.7566634998657,490.2402810000349,490.2402810000349,490.6408702998888,,,,,v,1,0.39201630000025034,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,65,65,20,v,1,0.3740712001454085,None,,,,,20,65,65,1,490.6569234000053,,490.6413731998764,490.6569234000053,491.6403323998675,491.6403323998675,491.6403323998675,491.6403323998675,491.6568248998374,492.1567774999421,492.1567774999421,492.54152349988,,,,,v,1,0.3740712001454085,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
150,v,66,66,21,v,1,0.31858969992026687,None,,,,,21,66,66,1,492.5574061998632,,492.5420484999195,492.5574061998632,493.54090939997695,493.54090939997695,493.54090939997695,493.54090939997695,493.55654140003026,494.05681700003333,494.05681700003333,494.3923780999612,,,,,v,1,0.31858969992026687,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,67,67,18,z,1,0.4103872000705451,None,,,,,18,67,67,3,494.4071090000216,,494.3930381999817,494.4071090000216,495.4062353000045,495.4062353000045,495.4062353000045,495.4062353000045,495.4062353000045,495.9061581999995,495.9061581999995,496.3230926999822,,,,,z,1,0.4103872000705451,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
-150,z,68,68,19,z,1,0.2962130999658257,None,,,,,19,68,68,3,496.3394175998401,,496.3234206000343,496.3394175998401,497.32228589989245,497.32228589989245,497.32228589989245,497.32228589989245,497.3390408998821,497.82291179988533,497.82291179988533,498.1242939999793,,,,,z,1,0.2962130999658257,None,005,001,2025-09-29_21h18.00.165,Motor Sequence Learning,,2025.1.1,59.934000706140935,2025-09-29 21h18.06.827883 +0530,
